,Vehicle,Model,Model Year,Problem,Sub Problem,Model Title,Model Problem,distance covered,description
821,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"220,000 miles",,"			Sitting in a parking lot and the vsa light came on. Looked it up and saw the recall on the vsa so intended to get it checked out. A couple days later I'm tooling along at freeway speed and for a brief second it felt like someone slammed on the brakes and released, and the vsa light came on. Took it to the dealership and the codes they found were for some sort of a power drop and blamed it on a possible power outage or drop at some point. Maybe alternator, battery or something, but they didn't find anything wrong with any of those, but it cost me $125 to be told they don't know. The vsa recall was completed in 2012 for the wiring harness. Today (a week later) I'm going about 25 on a surface street and the exact same thing happened, so I took it to the dealership without turning off the engine and possibly clearing any codes. What they came back with was a faulty yaw sensor code, but they want to keep it for a couple days to do further research. I'm told it is connected to the main computer and if it is the yaw sensor then the main computer has to be replaced, at a cost of $1650 (they will credit toward the repair the $125 I paid last week for the non-answer). In reading online, I'm not the only person who has had this issue. Also reading online a quick review seems to lead me to believe that the sensor can be replaced by itself, separate from the main computer, at a much lower cost.							- Fontana, CA, USA"
822,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl, miles,,"			The vsa and/or ABS will unexpectedly apply the brakes while driving. It is a short and quick application of the brakes, hard enough to make the vehicle swerve. It then seems to release and you can continue driving. Once this occurs both the vsa and ABS lights on the dash turn on showing they are disabled. The brakes continue to be operational. Upon turning off the ignition the lights reset and the vsa/ABS seem to be operational. During cold temperatures I will sometimes find the vsa/ABS lights turn on and stay on during start up but again only during cold temperatures. After driving a short time (10-15 minutes or miles) I will turn the ignition off, wait 1-2 minutes, turn the ignition on and the vsa/ABS lights go through the normal start up test and turn off and expected. This vehicle has not been in any major accidents that would affect the braking systems.							- Marquette, MI, USA"
823,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"52,016 miles",,"			Vehicle stalled and will not accelerate, vtm, vsa and engine lights on. Problem started in 2008 before Honda issued a recall. Problem ongoing as of present. Seems like temporary fixes each time, Honda can't seem to find a permanent fix. Keeps getting the run around. Very frustrating.							- Snellville, GA, USA"
824,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"123,805 miles",,"			On October 4, 2014 while my son was driving the accelerator became stuck luckily he was driving and we were traveling 30 miles per hour. The car was shifted to neutral and stopped. Yesterday, after cutting the car off and removing the key the engine was sill running. The key was reinserted and removed. Today on 10/102014 once again, I pulled in the garage tried to turn off the car and remove the key but the engine was still running with the key removed. I reinserted the key as I did the day before, as I removed the key the car accelerated became stuck again, fortunately the car was in park. I did not step on the gas or accelerate since I was merely reinserting and removing the key. In any event the car pedal was stuck. I am concerned and hope this does not happen again so I am reporting for my safety.							- Chicago, IL, USA"
825,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"105,000 miles",,"			On 06/15/2014, around 6:00pm, while approaching a curve at approx 30 mph lightly applied brakes. Brakes locked up and vsa light came on. Had the car checked by dealership and told me the problem is the sensor of vsa, it happens mor and more often for last couple of months.							- Andover, MA, USA"
826,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"96,000 miles",,"			While driving around a bend towards a red light, without my foot on the pedal my car made a weird shutter or brake pulsing, I thought I had gone over some ripple strips. When the light changed, I proceeded to make a right turn in a busy intersection, when going almost 30 & out of the turn, my Pilot came to an unassisted abrupt stop! im so lucky the person behind me didn't rear end me! it sounded like the transmission was grinding & the tires were locked. I waited a few seconds let go of brakes & the vehicle began to move but in 5 ft it did it again. Towed to dealer who cant seem to find or recreate the problem. Multiple brake, ABS, vsc & electrical alarms were reported by dealer but still no solution. This car is unsafe to drive and by multiple reports this is a widespread problem.							- Hoboken, NJ, USA"
827,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"109,440 miles",,"			As I was approaching a left turn lane I applied the brakes gently and the left front brake momentarily grabbed causing the vehicle to swerve into the oncoming traffic and the vsa lights activated. This has occurred 9 times in the last 300 miles. I took the vehicle to the dealer immediately and they told me they could not duplicate the problem and they found no problems with the car. Never had a problem until the ""recalled"" vsa module was replaced less than 6000 miles ago. The dealer tells me that the vsa module is not under warranty.							- Santa Maria, CA, USA"
828,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"153,099 miles",,"			I had let the car warm up for about 20minutes before I left. About 8:30am Saturday Dec. 14th 2013 my 2005 Honda Pilot started to accelerate on its own at a very high rate of speed. I tried to push on the brakes but it would not stop. I started praying to jesus and saying out loud god please! god please! god please! I know this sounds a little dramatic but it was very scary! I got off on the side of the road and by the grace of god something gave way. Either the accelerator stopped accelerating or the brakes finally worked but I was able to get the car to stop. From one worried car owner to another who may have had this problem or that might have this problem. I now know that I could put it in neutral and maybe turn the key off to also to get it to stop.							- Lander, WY, USA"
829,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot,"84,236 miles",,"			After the recall of vsa it happens that the SUV experiencing the symptom of excessive braking and vsa light comes out... before the recall we haven't experiencing this vsa problem.. I don't know in some reason why it comes out after the recall had been made..first occurrence I bring it to the dealer and advise that they been check, fixed and inform it won't come out any more.. after two weeks it happened again and my SUV will bring again to the dealer for the second time... I feel they make me feel worse this recall that been made... is there any advice ""??""							- Hayward , CA, USA"
830,Honda,Pilot,2005,engine problems,NHTSA: Vehicle Speed Control,Pilot 6-cyl,"62,000 miles",,"			The vehicle would apply additional brake force on the driver's side front wheel while the driver use the brake to slow the vehicle on a downhill road. The extra brake force only last 1 second or 2 but it caused the vehicle steer to the left and the vsa come on. In several occasions, the vehicle crossed the lane to the oncoming traffic. The vsa light will come on until I turn off the ignition. The Honda dealer initially suggest it was related to the vsa recall but after performing the recall work 4 times, the issue still exist. They finally determined the yaw sensor was causing the problem and replace it.							- Englewood, CO, USA"
831,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"65,000 miles",,"			My wife was driving to work when suddenly she heard like a whirring sound and the car just suddenly shut down. She pulled on the side and noticed fluid was leaking underneath the front side of engine. We have the vehicle towed to dealership. Talking to the agent, they told us that transmission fluid leaked into radiator and radiator coolant/trans fluid leaked into transmission. Cost of repairs: $1130 to flush out the fluids and 5000 to fix transmission. My problem is that we're upto date with the service check-up and upset that this was not prevented from happening.							- Lutherville Timonium, MD, USA"
832,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"128,100 miles",,"			Transmission cooler line inside radiator failed combining fluids and causing the transmission to malfunction. Loss of ability to drive/move vehicle with family in the vehicle. This is a common failure and requires a new radiator and replace / rebuild the transmission. A recommendation from Honda to replace the radiator every 100,000 miles would have prevented having to replace / rebuild the transmission. Subsequent to repair, oil remains in the coolant system and has caused failure of a coolant line due to over-pressurization. The vehicle, with multiple children in it, has been stranded two more times due to coolant system failure.							- Old Lyme, CT, USA"
833,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot,"150,000 miles",,"			Radiator failed causing the transmission fluid to mix with the coolant. My wife was stranded with my four children. We had the radiator changed and coolant and transmission fluid flushed. The transmission has not functioned properly since the problem happened.							- Sparta, NJ, USA"
834,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot,"150,051 miles",,"			Transmission cooler line inside radiator failed combining fluids and causing the transmission to malfunction. Loss of ability to drive/move vehicle while on a rural road between cities during a snowstorm with my family in the vehicle. This is a common failure and requires a new radiator and replace / rebuild the transmission. A recommendation from Honda to replace the radiator every 100,000 miles for a marginal fee(similar to the timing belt) would have prevented having to replace / rebuild the transmission.							- Rockford, MI, USA"
835,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"111,000 miles",,"			Transmission cooler line inside radiator failed commingled fluids and causing transmission to malfunction. Loss of ability to drive/move vehicle while in middle of multi-lane highway.							- Prior Lake, MN, USA"
836,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"150,000 miles",,"			Had a sudden failure of the transmission cooling portion of the radiator causing a loss of power to the rear wheels while driving on the highway at 70 mph. If this had happened on a busy freeway it would have been very dangerous. Upon doing an internet search I see that hundreds of 2005 Honda Pilot have suffered the same sudden failure of the exact same part causing the same condition. This usually results in damaging the transmission and costing thousands to repair. This is absolutely a safety hazard. Honda refuses to acknowledge that any problem exists. It is plainly evident that a manufacturing defect of this part exists. Any engineer who examines the data of hundreds and hundreds of accounts posted on the internet must come to the same conclusion. This is defective! this is dangerous! owners should be partially compensated for the expense of repair. Honda should be held accountable for a knowingly defective part.							- Canton, MI, USA"
837,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"96,000 miles",,"			I was on a circular on-ramp to a highway. My vehicle started losing power upon acceleration so the engine revved but car slowed down. I made it off the ramp to the highway and was able to pull off to the shoulder. The car has an automatic transmission so I thought maybe it wasn't clicking into place properly but it was. I noticed a puddle of fluid. I had it towed to a mechanic who said that the transmission cooling line blew out & the radiator will have to be replaced along with the adapter because there are no threads left on the radiator to grab the connector. He said it was something that's not supposed to happen. It was a mechanical failure. I have read several posts on line on a number of web sites from owners with this same problem. Most people have also replaced their transmissions because the radiator and transmission fluids ruin both when mixed together. My car is still at the mechanics, so I don't know about the transmission yet, but the posts indicate that the car is never the same. I was lucky that I had enough juice to pull over to safety. Apparently there are no recalls from Honda in spite of the numerous complaints that I've seen. Repairs are expensive & this problem seems to occur mostly within the 100,000 mile range, give or take. If I get rid of the car before or after fixing it, it would only be a problem for the next consumer & that's not really fair. I feel that Honda should reimburse current owners for transmissions and radiator replacements on those cars that have had the problem and recall/repair the parts on the ones that haven't. I feel that this is an important issue because my car could have come to a complete stop on the highway and caused a serious & potentially fatal accident. Honda needs to take responsibility for this defect before someone gets hurt or killed. Thank you in advance for your attention to this matter.							- Downingtown, PA, USA"
838,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"113,000 miles",,"			Radiator failed, causing loss of transmission fluid, causing loss of motion. The car stopped dead in the road and could not move on its own power. From contact with other Honda Pilot and Honda ridgeline owners, I learned that this type of failure occurs frequently at around 100,000 miles. The single radiator unit cools both the engine and the transmission fluid.							- Levittown, PA, USA"
839,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"110,000 miles",,"			I bought the 2005 Pilot ex in 2009. Brought it back to the dealer after 1 month of driving for hesitation in the transmission. Dealer couldn't find the problem. Thought this must be how it shifts. Have always noticed a slight radiator fluid smell. No one could find any leak. About 3 years later at 110,000 miles, transmission fluid and radiator fluid mixed when the radiator gave out. We were out of town and on our way home leaving us on the side of the road to be towed back into town (approx 30 miles) and had to spend an extra night until the repairs were finished. $637 repair for the radiator. 2 months later noticed the air conditioner not working. Took it to our local guy who said it wasn't hooked up right when they replaced the radiator. Correct hookup, pressure test and recharge air system was $186. A week later after explaining the radiator problem to my local repair guy we had the transmission flushed twice to try to save us from future transmission trouble. $292 for the transmission flush related to the radiator failure. Now a month and a half later we have a shudder between 35 and 45 mph and a noise at about 55 mph that sound like a piece of metal dropping off the car. Asked the local repair shop and transmission repair shop and they both said the transmission was damaged and needed to be replaced. Went with the transmission place, after reading all the similar stories of other 2005 Honda Pilot, the dealers will over charge and not even admit to this known issue. The stories of the same problem happening again made us go with the most competent repair shop who does this every day. So it's the fourth of July and we are without the family car today. Should be able to pick it up tomorrow with the rebuilt transmission for $3,915. Total bill; $5,031 for a failed radiator. This is wrong. Honda should acknowledge this issue and be made to recall it.							- Macedon, NY, USA"
840,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"69,000 miles",,"			Front and right side motor mounts are broken according to va inspection. The vehicle only has 69K miles and being serviced regularly, how could that happen? need to pay over $500 to replace in order to pass va safety inspection. Noticed many owners has the same problem.							- Chantilly, VA, USA"
841,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot,"83,000 miles",,"			The contact owns a 2005 Honda Pilot. The contact stated that while driving 3 mph, the temperature gauge spiked as coolant began overflowing from the radiator. The vehicle was taken to a dealer for diagnosis and the contact was informed that transmission fluid was found in the radiator and radiator fluid was found in the transmission. As a result, the radiator, transmission cooler, transmission and all of the lines from the transmission would need to be replaced. The vehicle was not repaired. The failure and current mileage was 83,000. 							- Kokomo, IN, USA"
842,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"98,000 miles",,"			Temperature gauge started to rise. I stopped the car and found the radiator had failed internally. The coolant was mixing with the atf. All the atf fittings to the radiator showed signs of rusting. In my opinion the radiator design and manufacturing are faulty.							- The Woodlands, TX, USA"
843,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"97,000 miles",,"			My Pilot has a very bad shake in the steering wheel whenever I reach speeds of 70mph. I've had three wheel balances (one road force balance), two alignments, rotors and brakes checked with no issues with those items. I've had to of the motor mounts replaced on the vehicle since I purchased it which I never had to do on any other vehicles I've ever owned. I told the Honda dealer that I think Honda corporation should do a recall on the motor mounts because all Pilot owners are complaining about the same issues. I still have the shaking in the steering wheel and I'm afraid that I might have to replace the third motor mount to resolve the shaking in the steering wheel. This is another expense that I can't afford but it doesn't seem Honda cares about their customers so I guess we have no other options since it seems we (Honda owners) can't get through to Honda corporation to help us!							- Mckinney, TX, USA"
844,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"139,000 miles",,"			Transmission cooling portion of radiator failed causing transmission fluid to leak into the radiator and mix with coolant. Transmission drained and caused car to stop. Introduction of antifreeze into the transmission caused damage to the transmission resulting in need to replace transmission.							- East Stroudsburg, PA, USA"
845,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"37,228 miles",,"			I had to replace my radiator at 37228 mileage and 85031 on 2005 Honda Pilot. The radiators are failing at the transmission fittings attached to the bottom of the radiators. There are several thousand complaints about this issue and Honda is denying there is a problem. The problem is the transmission cooler is built into the bottom of the radiator. The cooler sits in the bottom of the radiator. There are two transmission fittings on the out side of the radiator that attach to the transmission. This brings transmission fluid in the radiator cooler, cools the fluid and returns it to the transmission. Now inside the bottom radiator sits the transmission cooler which is just a small pipe witch is attached to the transmission fittings. When the fluid enters the radiator cooler it gets instantly cooled and returned to transmission because the cooler is submerged in radiator fluid. This is because the bottom of the radiator is the coolest at the bottom. What's happening is the transmission fittings are rusting away and failing allowing radiator fluid to enter the return line to the transmission. When radiator fluid enters the transmission the transmission is done. You need a replacement. These problem is happening to several Honda and Nissan. The two car company's use the same manufacturing for the radiator. The company is dense. The failing on Honda and Nissan. If you look into this matter you will see how many people are affected by this. I replaced two radiators for this truck so far. Please look into this problem for $1400 so far. There is a defect with this radiator and Honda refuse to do anything about it. People are spending thousands of dollars for something that could be fixed by Honda and Nissan. Please issue a recall with this issue. Thank you							- Levittown, NY, USA"
846,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,Automatic transmission,"52,000 miles","			My husband and I notice a shudder when you reach a speed of 35-40 mph. We in turn took it into Honda to have it checked several times and to test drive, I even drove the Honda while the service man was in the car and it would not shudder. It is still having the shudder problems, I am taking it in for the 4th time for service and oil change and maybe the service department can tell me what is wrong and why it shudders. From research we have found out that we are not the only Honda Pilot owners with this same problem. There are 98 total discussions on this website ( www.edmunds.com/Honda/Pilot/2005/consumer-discussions.html) discussing the same problems we are having, I truly hope that Honda is going to stand good on taking care of this problem or we will no longer purchase another Honda. We have been told that it is the torque converter.							- Pensacola, FL, USA"
847,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,"60,000 miles",,"			2005 Honda Pilot --- 60,000 miles -- garage kept. Internal transmission hose inside radiator burst while sitting in my garage allowing transmission and radiator coolant to mix and leak. Numerous other people have experienced same issue with same vehicle. Please investigate. Radiator and transmission failure.							- Montgomery, NY, USA"
848,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot,"132,000 miles",,"			Our 2005 Honda Pilot has been pretty good for last seven years and 132,000 miles, although we wanted to keep it to 200,000 miles. Last Saturday, out of nowhere, it started to leak thick, pink liquid on our driveway. It appeared to me, and after looking at the owner's manual, that the issue was the radiator. It was a cold day so I started to drive to the dealer, watching the engine temperature light on the way. The car only went two miles before transmission stopped working. The car has now been at a local repair shop for a week and three days while I rent another vehicle. It is my understanding that this is a common issue in Pilot's after going over 100,000 miles (catastrophic radiator failure that leads to transmission failure). Honda should make certain that owners replace the radiator components that lead to this catastrophic failure before the owner has to replace both the radiator and the transmission. I would have certainly bought a new car if I had known this was coming up on the horizon, but now my investment in this vehicle will be too high to get rid of it. It seems that with some preventive maintenance, $5000 to $7000 of repairs could have been avoided, and I bet the Honda dealer does not offer me $5K to $7K in trade in.							- Hingham, MA, USA"
849,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot 6-cyl,Automatic transmission,"112,776 miles","			The contact owns a 2005 Honda Pilot. The contact stated that the vehicle hesitated to accelerate from stops with an abnormal increase in engine rpms. The vehicle eventually stopped accelerating completely. The vehicle was towed to an authorized dealer where the contact was informed that there was a catastrophic failure of the radiator and transmission. The vehicle was not repaired. The manufacturer was not made aware of the failure. The failure and current mileages were 112,776. Updated 02/03/12 updated 03/21/12							- Smithsburg, MD, USA"
850,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling,Pilot, miles,,"			Noticed vehicle left a large puddle in the driveway. Checked under hood and it appeared something had leaked/sprayed in the engine compartment towards the passengers side. Took to mechanic. Diagnosis of problem (paraphrased as best as I can recall)- transmission cooling part failed and leaked into radiator causing trans fluid and antifreeze to mix, flow through engine and spray out. Mechanic stated it's something he doesn't see often and it's a major repair (think 1K). A quick search of the internet shows this is an issue with 05 Honda Pilot and that Honda is not taking responsibility for it. This is obviously a design flaw or defect and they are doing nothing. Hopefully the problem was caught/addressed in time to repair without having caused additional major damage to my engine. Unacceptable.							- Thurmont, MD, USA"
851,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling: Engine,Pilot 6-cyl,"149,200 miles",,"			The front and side engine mount for my 2005 Honda Pilot needs/needed to be replaced. I had the side mount replaced 6 months ago and now the front mount needs to be replaced for a vehicle that is only 6 years old. I understand that a damaged engine mount is a safety issue. I have read comments online about this issue from other consumers. I have never known an engine mount to be worn from the several vehicles I've owned and when I mention it to my friends they are shocked to learn of this type of repair. It's analagous to having a bad screw or bolt which is very rare. This issue needs to be investigated. Perhaps Honda of America installed bad motor mounts on these cars and should have a recall.							- Ft. Washington, MD, USA"
852,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling: Engine,Pilot,"77,606 miles",,"			Had a Honda dealership service center complete repairs on warped front brake rotors. Dealership informed me that the front motor mount is broken and collapsed and that the right rear shock is starting to leak. The vehicle has 77,606 miles and has been well taken care of and regularly serviced. After researching these issues, it appears that the motor mount and rear shock failures are not uncommon issues for 2005 Honda Pilot.							- Austin, TX, USA"
853,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling: Engine,Pilot,"43,100 miles",,"			Radiator was apparently struck by rock and cracked. The Honda Pilot was immediately towed to dealer for factory replacement. Within two months the new radiator was severely damaged and cause of crack was undetermined. After searching the internet auto blogs there appear to be numerous complaints regarding cracked radiators in Honda Pilot from random road debris. This does not appear to be common in the Accord or other make and model vehicles suggestive to me that the repeated occurrence of cracked radiators in the Honda Pilot is a result of faulty design. This could lead to serious engine damage or injury if this continues.							- Bothell, WA, USA"
854,Honda,Pilot,2005,engine problems,NHTSA: Engine And Engine Cooling: Engine,Pilot 6-cyl,"16,000 miles",,"			2005 Honda Pilot ex has only 16,000 miles. I am its original owner. The car has begun to shut off while driving over the last two months. Engine quits without warning and immobilizer key icon flashes on instrument panel. Engine restarts when placed in park. This obviously is a huge safety and liability issue. Took it to the Honda dealer and no error codes were found in the ECU. They could not duplicate and returned car to me. In typical corporate style they will not do anything about it until they can duplicate or the unthinkable happens. I will return the car to the dealer every time it happens again and seek whatever remedy available to me by law. American Honda has been notified and this potential catastrophe waiting to happen is on record.							- Stevenson Ranch, CA, USA"
855,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot EX 3.5L V6,Automatic transmission,"142,000 miles"," We have a 2005 Honda Pilot EX and at 142000 the transmission totally went with no warning. I guess we need hear a whopping noise for months before this, I thought it was wheel bearing had them put in a day before the tranny blew. Oil change got all lights off. Now this Honda really needs to recall the 05 transmission. I spent a lot of money on this car and expected it to last at least five years for our family car. With third row seats it fits everyone. Now we are left with getting a used tranny which is 1000 dollars more. Honda needs to step up and claim their faulty transmission. My father was a mechanic for a Honda dealership where we live in VT for 10 years and he always swore by Honda and how great they are made so I bought one. I don't think all Hondas are this way but if it's a known problem, then RECALL it.				- Corey S.,				Rutland, VT, US"
856,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot ES 3.5L V6,Automatic transmission,"167,890 miles","I AM A NEW USER OF THIS MACHINE SO IT IS IMPORTANT TO KNOW WHAT EXACTLY IS THE PROBLEM AS IT DISTURBS MY MIND NOT TO CAUSE ANY SERIOUS DAMAGE				- oyebanjiisaac,				Abuja, Nigeria"
857,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot EX 3.2L V6,Automatic transmission,"135,000 miles","blinking 'd' on dash. resets when car restartedJust need to find out what is causing the blinking 'D' on the dash before something more serious happens like a damaged transmission.				- dron,				Newark, CA, US"
858,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot LX,Automatic transmission,"136,000 miles"," The D light will randomly start flashing, mainly when accelerating on freeway. If I turn the car off and back on it stop blinking, then will randomly start blinking aging. Not sure what is going on, the car drives fine?!?!?!?				- tink46,				Bothell, WA, US"
859,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot EXL V.6,Automatic transmission,"110,000 miles","It has an electrical problem and transmission problem. It was horrible  and expensive.				- dvillegas,				Houston, US"
860,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot LX V6,Automatic transmission,"182,000 miles","i was driving my honda pilot today and as driving at speeds between 55-65 it felt like it was hard shifting ..(automatic vehicle)..so noticeable i tried to maintain a lower speed at 55 on a free way as i had an hr to make it home didnt want it to shift to much ..got home and noticed a leak after it had been setting in my driveway for about an hr this is a common problem just depends when it happens to your 05 honda pilot ..honda needs fix on their dime				- Tammy B.,				Fayetteville, NC, US"
861,Honda,Pilot,2005,interior accessories problems,D Light Flashes While Driving,Pilot LX V6,Automatic transmission,"70,750 miles","I took it to the dealership today to see about the flashing ""D"" light. Although they have identified over 1,000,000, Yr. 2003-2004 Pilots with a transmission problem, they acted like they were totally unaware of such issues. Then to add injury to insult they told me that the transmission is only covered for 3 years or 36,000 miles. My car is 4 years old and has 70,000 miles. Now that is a lousy warranty. What happened to that Honda quality that lead me to purchase my fourth Honda? Don't tell me they are going the way of the U.S. automakers.				- pbstillcounting,				Castro Valley, CA, US"
862,Honda,Pilot,2005,interior accessories problems,Seat Bracket Broken,Pilot EX-L V6,Automatic transmission,"265,000 miles"," Same as many others: 2005 Honda Pilot EX-L. Seat mount bracket broken. This has/is occurring with increasing frequency. Honda, help us!				- Doc S.,				Hubbard, OH, US"
863,Honda,Pilot,2005,interior accessories problems,Seat Bracket Broken,Pilot EX V6,Automatic transmission,"210,000 miles","Approximately two weeks ago my seat started to become mobile. It took me a few days assisted by some internet research, one of the brackets connecting the seat to the base had split in half or almost in half. After a few days, the bracket completely split.My internet research, including this site, shows the issue is not unique to my vehicle. I called a dealer and of course the only solution on their end is a replacement of the seat because it is a SIGNIFICANT safety issue. The estimated cost to replace with a new OEM is $1500-2000.I have attempted to locate a replacement seat and it is between $50 and 325 for a used seat from a salvage yard and it will not even be an exact replacement (color or electric).I am also filing a report through the NHTSA website. (https://www-odi.nhtsa.dot.gov/VehicleComplaint/)				- kypiloteer,				Owensboro, US"
864,Honda,Pilot,2005,interior accessories problems,Seat Bracket Broken,Pilot V6,Automatic transmission,"191,551 miles","Safety issue since break occurred during 500 mile trip and the driver seat rocks back and forth, plus I am sure the seat lost impact integrity as well if I had been involved in an accident.				- rck280,				Birdsboro, PA, US"
865,Honda,Pilot,2005,interior accessories problems,Seat Bracket Broken,Pilot EX V6,Automatic transmission,"159,320 miles","The drivers seat frame broke which I feel is a serious safety concern. It wasn't too bad at first, the seat just rocked a little. After a few days the seat rocked severely with every start, stop and turn. If I were to have been in an accident, I am sure the seat would not have protected me or helped me to maintain any control of my 2005 Pilot. I contacted my dealer and was told it would cost $2185.00 to repair. It took the dealership longer than expected to obtain the necessary repair parts. The actual cost a was bit more $2233.00 plus tax.After viewing so many other complaints regarding the driver's seat I feel that Honda should be proactively checking and making the necessary repairs. If the seat should become detached from the base the driver will lose control of the vehicle. Possibly causing a very serious accident. The cost to repair seems outrageously high for just a couple of small pieces of metal.				- David H.,				Chillicothe, IL, US"
866,Honda,Pilot,2005,interior accessories problems,TPMS Light On,Pilot ES 3.5L,Automatic transmission,"120,000 miles"," TPMS light comes on every 100 miles or less. The tire pressures are fine. There is no way to disable the light or the system... thanks Honda. Another check wallet light that only Honda can fix				- Washington D.,				Phelan, CA, US"
867,Honda,Pilot,2005,interior accessories problems,TPMS Light On,Pilot,Automatic transmission,"254,000 miles","TPMS warning light is on all the time... I have already replaced 2 of the sensors. I understand there is a software upgrade available. If I knew about the upgrade would I have had to replace the sensors?				- peterln3,				Asheville, NC, US"
868,Honda,Pilot,2005,interior accessories problems,Extremely Uncomfortable Seats,Pilot EX V6 3.5L,Automatic transmission,"111,847 miles"," Since buying my 2005 Honda Pilot brand new I began experiencing back pain. Severe back pain. I initially made no connection to the vehicle. Over the years when I would drive the pilot as opposed to my other vehicle the pain would return. It would get so bad I would be in chiropractic care, massage therapy, acupuncture and on meds for my sciatica and low back pain.The last month I have been driving the vehicle for weekend trips between 2-3 hours and the back pain came back as bad as ever. In the pilot my legs go numb, sciatica flares up and searing pain occurs. On Friday a week after my last drive in the car and after many massage appointments, chiro and acupuncture I was starting to feel better. We hopped in the pilot for a 30 minute trip to Costco and boom. Pain was back. We turned around switched vehicles and no problem.I can't believe Honda can get away with building a vehicle with seats so cheap like these. Full leather, electric, heated......it is all lipstick on a pig. These things are horrible and for the last 9 years it is now obvious that my awesome vehicle has been killing my back. I asked my staff at work 3 of whom have a pilot and guess what....they all have the same problem. I was going to trade in the pilot and get a new pilot but not now. How do I fix this? There are so many things wrong with these seats it is not even funny. I love everything about my pilot but now that I have deduced where my back pain is coming from I am incredibly disappointed to find out my great vehicle has been causing the problem for so long.Honda- I want new seats!				- Dave A.,				Spruce Grove, Alberta, canada"
869,Honda,Pilot,2005,interior accessories problems,Ignition Switch Shift Interlock Failure,Pilot,Automatic transmission,"98,000 miles"," If you look up the problem of the key getting stuck and not turning the ignition, it is all over the internet. Why won't Honda take notice of this?				- bcurtin8150,				Chicago, IL, US"
870,Honda,Pilot,2005,interior accessories problems,NHTSA: Seats,Pilot,"185,000 miles",,"			The contact owns a 2005 Honda Pilot. The contact stated while at a standstill reaching back in his seat the seat riser fractured causing the driver's seat to move back and forth in the vehicle. The vehicle was not taken to local dealer to be diagnosed or repaired. The manufacturer had not been informed of failure. The failure mileage was approximately 185,000.							- Sacramento, CA, USA"
