,code,topic,description,possible_cause,Diagnostic
75,P0221 ," Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance
",   The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a   concern by the powertrain control module (PCM) indicating an out of range in either the   closed or wide open throttle (WOT) modes.,"[' Binding throttle linkage', ' Damaged throttle body ', ' TP circuit open to PCM ', ' Damaged TP sensor ', ' SIG RTN circuit open to the TP sensor ', ' Self-test operator error (foot resting on the accelerator pedal during test)']"," This concern exhibits a symptom of limited power. A TP2 PID reading greater than 96.42%(4.65 volts) during key ON, engine OFF or key ON, engine running indicates a concern is present."
76,P0222 ," Throttle/Pedal Position Sensor/Switch B Circuit Low
","   The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a   concern by the powertrain control module (PCM) indicating a low voltage, or open circuit.","['Open ETC TP sensor harness', 'Short to ground in the ETC TP sensor harness ', 'Damaged TP sensor ', 'SIG RTN circuit open to the TP sensor']"," This concern exhibits a symptom of limited power. A TP2 PID reading less than 3.42%(0.17 volt) during key ON, engine OFF or key ON, engine running indicates a concern is present."
77,P0223 ," Throttle/Pedal Position Sensor/Switch B Circuit High
",   The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a   concern by the powertrain control module (PCM) indicating a high voltage.,"['ETC TP sensor harness shorted to VREF', 'Damaged TP sensor ', 'ETC TP2 circuit open ', 'VREF circuit short to TP sensor']"," This concern exhibits a symptom of limited power. A TP2 PID reading greater than 93%(4.65 volts) in key ON, engine OFF or key ON, engine running indicates a concern is present."
78,P0230 ," Fuel Pump Primary Circuit
", The powertrain control module (PCM) monitors the fuel pump (FP) circuit output from the PCM. The test fails when the FP output is commanded ON (grounded) and excessive current draw is detected on the FP circuit. The test also fails when the FP output is commanded OFF and voltage is not detected on the FP circuit. The PCM expects to detect VPWR voltage coming through the fuel pump relay coil to the FP circuit.,"[' Open or shorted (FP) circuit ', ' Open VPWR circuit to the fuel pump relay', ' Damaged fuel pump relay', ' Damaged PCM']"," A concern is present when the FP_F PID reads YES. An open circuit or short to ground canonly be detected with the fuel pump commanded OFF. A short to voltage can only be detected with the fuel pump commanded ON. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the fuel pump output command is cycled on and off."
79,P0231 ," Fuel Pump Secondary Circuit Low
",The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit. Thetest fails if the PCM commands the fuel pump ON and B+ voltage is not detected on theFPM circuit.,"['Open B+ circuit to the fuel pump relay ', 'Open FP PWR circuit between the fuel pump relay and its connection to the FPM circuit', 'Damaged fuel pump relay']","During the key on engine off (KOEO) self-test, the PCM commands the fuel pump ON so this test can be carried out."
80,P0232 ," Fuel Pump Secondary Circuit High
"," The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit. This test fails when the PCM detects voltage on the FPM circuit while the fuel pump is commanded OFF. The FPM circuit is wired to a pull-up voltage inside the PCM. The FPM circuit goes high if, with the key ON, engine OFF and the fuel pump commanded OFF, the FPM/FP PWR circuit loses its path to ground through the fuel pump. The FPM circuit also goes high if the FPM/FP PWR circuit is short to voltage.","['Inertia fuel shutoff (IFS) switch not reset or electrically open', 'Open circuit between the fuel pump and the FPM connection to the FP PWR circuit ', 'Poor fuel pump ground ', 'Fuel pump electrically open ', 'Fuel pump secondary circuits short to voltage ', 'Fuel pump relay contacts always closed ', 'Open FPM circuit between the PCM and the connection to the FP PWR circuit']"," Continuous memory P0232 can be set if the IFS switch is tripped then reset, or if the fuelpump circuit is activated when the PCM expected the circuit to be off. This DTC may set during a fuel system test or prime procedure."
81,P0297 ," Vehicle Over Speed Condition
"," Indicates the vehicle has been operated in a manner which caused the vehicle speed to exceed a calibration limit. The vehicle speed is continuously monitored and evaluated by the powertrain control module (PCM). The DTC is set when the vehicle speed exceeds the calibrated limit set within the PCM. For additional information on the vehicle speed limiter, refer to Section 1, Powertrain Control Software .",['Vehicle driven at a high rate of speed'], The DTC indicates the vehicle has been operated in a manner which caused the enginespeed to exceed a calibrated limit.
82,P0298 ," Engine Oil Over Temperature Condition
"," Indicates the engine oil temperature protection strategy in the powertrain control module (PCM) has been activated. This temporarily prohibits high engine speed operation by disabling injectors, to reduce the risk of engine damage from high engine oil temperature. On engines equipped with an oil temperature sensor, the PCM reads oil temperature to determine if it is excessive. When an oil temperature sensor is not present, the PCM uses an oil algorithm to determine actual temperature. Engine shutdown strategy function is the same on vehicles with and without oil temperature sensors.","['Very high engine RPM for an extended period of time ', 'Overheating condition', 'Damaged engine oil temperature (EOT) sensor or circuit (vehicles with an EOT sensor)', 'Base engine concerns']", The engine is operating in high RPM range due to improper gear selection. This may causea lack/loss of power or surge.
83,P0300 ," Random Misfire Detected
",The random misfire DTC indicates multiple cylinders are misfiring or the powertrain controlmodule (PCM) cannot identify which cylinder is misfiring.,"['Camshaft position sensor (CMP)', 'Low fuel (less than 1/8 tank) ', 'Stuck open EGR valve ', 'Blocked EGR passages']",One or more EGR passages may be blocked or partially blocked. If this is the case the misfire detection monitor indicates the EGR port to check for possible blockage.
84,P030x ," Cylinder x Misfire Detected
"," NOTE: x represents cylinder numbers 1 through 9. The misfire detection monitor is designed to monitor engine misfire and identify the specific cylinder in which the misfire has occurred. Misfire is defined as lack of combustion in a cylinder due to absence of spark, poor fuel metering, poor compression, or any other cause.","[' Ignition system', ' Fuel injectors ', ' Running out of fuel ', ' EVAP canister purge valve ', ' Fuel pressure ', ' Evaporative emission system ', ' EGR system ', ' Base engine']"," The malfunction indicator lamp (MIL) blinks once per second when a misfire severe enoughto cause catalyst damage is detected. If the MIL is on steady state due to a misfire, this indicates the threshold for emissions was exceeded and caused the vehicle to fail an inspection and maintenance tailpipe test."
85,P0310 ," Cylinder 10 Misfire Detected
",   See the description for DTC P030x.,['See the possible causes for DTC P030x.'],See the diagnostic aids for DTC P030x.
86,P0315 ," Crankshaft Position System Variation Not Learned.
",The powertrain control module (PCM) is unable to learn and correct for mechanicalinaccuracies in crankshaft pulse wheel tooth spacing. This DTC disables the misfiremonitor.,"['Damaged crankshaft pulse wheel teeth ', 'Damaged crankshaft position (CKP) sensor']",Requires visual inspection of the CKP sensor and the crankshaft pulse wheel teeth for damage.
87,P0316 ," Misfire Detected On Startup (First 1000 Revolutions)
","DTC P0316 is set in addition to any type B misfire DTC which occurs in the first 1,000revolution test interval following engine start.","['Damaged crankshaft position (CKP) sensor', 'Ignition system ', 'Fuel injectors ', 'Running out of fuel ', 'Fuel quality ', 'Base engine ', 'Damaged powertrain control module (PCM)']","Freeze frame data and the DTC P03xx are also stored, indicating which cylinder the misfire occurred."
88,P0320 ," Ignition/Distributor Engine Speed Input Circuit
",   The ignition engine speed sensor input signal to powertrain control module (PCM) is   continuously monitored. The test fails when the signal indicates that 2 successive erratic   profile ignition pickup (PIP) pulses occurred.,"[' Loose wires/connectors', ' Arcing secondary ignition components (coil, wires and plugs) ', ' On-board transmitter (2-way radio)']", The DTC indicates that 2 successive erratic PIP pulses occurred.
89,P0325 ," Knock Sensor 1 Circuit (Bank 1)
",   The KS detects vibrations upon increase and decrease in engine RPM. The knock sensor   generates a voltage based on this vibration. A DTC is set if the voltage goes outside a   calibrated level.,"[' KS circuit short to GND', ' KS sensor circuit short to voltage ', ' KS circuit open ', ' Damaged KS']", A knock sensor voltage greater than 0.5 volt with the key ON engine OFF indicates aconcern is present.
90,P0326 ," Knock Sensor 1 Circuit Range/Performance (Bank 1)
",  See the description for DTC P0325.,['See the possible causes for DTC P0325.'],See the diagnostic aids for DTC P0325.
91,P0330 ," Knock Sensor 2 Circuit (Bank 2)
",  See the description for DTC P0325.,['See the possible causes for DTC P0325.'],See the diagnostic aids for DTC P0325.
92,P0331 ," Knock Sensor 2 Circuit Range/Performance (Bank 2)
",  See the description for DTC P0325.,['See the possible causes for DTC P0325.'],See the diagnostic aids for DTC P0325.
93,P0340 ," Camshaft Position Sensor A Circuit (Bank 1 or single sensor)
",   The test fails when the powertrain control module (PCM) can no longer detect the signal   from the camshaft position (CMP) sensor on bank 1.,"['CMP circuit open', 'CMP circuit short to GND ', 'CMP circuit short to voltage ', 'SIG RTN open (VR sensor) ', 'CMP GND open (Hall-effect sensor) ', ' CMP circuit short to CMP2 circuit (if equipped) ', ' CMP incorrectly installed (Hall-effect sensor) ', ' Damaged CMP sensor shielding ', ' Damaged CMP sensor ', ' Damaged PCM']"," Harness routing, harness alterations, improper shielding, or electrical interference fromother improperly functioning systems may have an intermittent impact on the CMP signal."
94,P0344 ," Camshaft Position Sensor A Circuit Intermittent (Bank 1 or single sensor)
",   The test fails when the powertrain control module (PCM) detects an intermittent signal   from the camshaft position (CMP) sensor.,"[' Intermittent open circuit', ' Intermittent short circuit ', ' Damaged sensor shielding ', ' Damaged sensor']"," Harness routing, harness alterations, improper shielding, or electrical interference fromother improperly functioning systems may have an intermittent impact on the CMP signal."
95,P0345 ," Camshaft Position Sensor A Circuit (Bank 2)
",The test fails when the powertrain control module (PCM) can no longer detect the signalfrom the camshaft position (CMP) sensor on bank 2.,['See the possible causes for DTC P0340.'],See the diagnostic aids for DTC P0340.
96,P0349 ," Camshaft Position Sensor A Circuit Intermittent (Bank 2)
", See the description for DTC P0344.,['See the possible causes for DTC P0344.'],See the diagnostic aids for DTC P0344.
97,P0350 ," Ignition Coil Primary/Secondary Circuit
",Each ignition primary circuit is continuously monitored. The test fails when the powertraincontrol module (PCM) does not receive a valid ignition diagnostic monitor (IDM) pulsesignal from the ignition module (integrated in the PCM).,"['Open or short in the ignition START/RUN circuit', 'Open coil driver circuit ', 'Coil driver circuit short to ground ', 'Damaged coil ', 'Coil driver circuit short to VPWR']","Use the 12-volt non-powered test lamp to verify START/RUN voltage at the ignition coil harness connector.Check the coil driver circuit for open, short to VPWR, or short to ground."
98,P0351 ," Ignition Coil A Primary/Secondary Circuit
", See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
99,P0352 ," Ignition Coil B Primary/Secondary Circuit
",   See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
100,P0353 ," Ignition Coil C Primary/Secondary Circuit
",   See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
101,P0354 ," Ignition Coil D Primary/Secondary Circuit
",   See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
102,P0355 ," Ignition Coil E Primary/Secondary Circuit
", See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
103,P0356 ," Ignition Coil F Primary/Secondary Circuit
", See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
104,P0357 ," Ignition Coil G Primary/Secondary Circuit
", See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
105,P0358 ," Ignition Coil H Primary/Secondary Circuit
", See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
106,P0359 ," Ignition Coil I Primary/Secondary Circuit
",   See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
107,P0360 ," Ignition Coil J Primary/Secondary Circuit
",   See the description for DTC P0350.,['See the possible causes for DTC P0350.'],See the diagnostic aids for DTC P0350.
108,P0400 ," Exhaust Gas Recirculation (EGR) Flow
", The electric EGR (EEGR) system is monitored once per drive cycle at high and low load conditions. The test fails when a concern is detected by powertrain control module (PCM) calculations indicating the EGR flow is less or greater than expected.,"[' EEGR valve stuck open or closed ', ' Connector to EEGR not seated', ' EEGR motor winding circuits short or open', ' No voltage to the EEGR', ' Harness open or short to voltage or ground', ' Vacuum signal to manifold absolute pressure (MAP) restricted or leaking', ' Mass air flow (MAF) sensor signal erroneous ', 'Carbon build up in the EEGR valve seat area ', 'One or more sensors is not responding or is out of range']"," All of the following sensors input data to the PCM for correct operation of the EEGRsystem: engine coolant temperature (ECT), crankshaft position (CKP), intake air temperature (IAT), MAF, throttle position (TP), MAP. Any DTC relating to these sensors must be resolved prior to addressing DTC P0400."
109,P0401 ," Exhaust Gas Recirculation (EGR) Flow Insufficient Detected
",   The EGR system is monitored during steady state driving conditions while the EGR   is commanded on. The test fails when the signal from the differential pressure   feedback EGR (DPFE) sensor indicates that EGR flow is less than the desired   minimum.,"[' Vacuum supply ', ' EGR valve stuck closed ', ' EGR valve leaks vacuum ', ' EGR flow path restricted ', ' EVR circuit short to voltage ', ' VREF open to DPFE sensor ', ' DPFE sensor downstream hose is off or plugged ', ' EVR circuit open ', ' VPWR open to EGR vacuum regulator solenoid ', ' DPFE sensor hoses are both off ', ' DPFE sensor hoses are reversed ', ' Damaged EGR orifice tube ', ' Damaged EGR vacuum regulator solenoid']","Carry out the key on engine running (KOER) self-test and look for DTC P1408 as an indication of a hard fault. If DTC P1408 is not present, look for contamination, restrictions, leaks, and intermittent concerns."
110,P0402 ," Exhaust Gas Recirculation (EGR) Flow Excessive Detected
",   The EGR system is monitored for undesired EGR flow during idle. The EGR monitor   looks at the differential pressure feedback EGR (DPFE) signal at idle and compares it   to the stored signal measured during key on engine off (KOEO). The test fails when   the signal at idle is greater than at KOEO by a calibrated amount.,"[' EGR valve stuck open ', ' Plugged EGR vacuum regulator solenoid vent ', ' Plugged EGR tube ', ' Slow responding DPFE sensor ', ' Damaged DPFE sensor ', ' Incorrect vacuum hose connection ', ' Plugged vacuum hoses ', ' EVR circuit short to ground ', ' Damaged EGR vacuum regulator solenoid']",A DPFEGR PID reading that is greater at idle than during KOEO by 0.5 volt or a rough engine idle may indicate a hard fault.
111,P0403 ," Exhaust Gas Recirculation (EGR) Control Circuit
For Vehicles With an Electric EGR (EEGR)
","   The EEGR system is continuously monitored to check the 4 EEGR motor coils,   circuits, and the powertrain control module (PCM) for opens, shorts to voltage and   ground. If a concern is detected, the EEGR system is disabled and additional   monitoring is suspended for the remainder of the drive until the next drive cycle.","[' EEGR motor windings open ', ' Connector to EEGR not seated ', ' Open circuit in the harness from the PCM to the EEGR ', ' Short circuit in the EEGR motor ', ' Short circuit in the harness from the PCM to the EEGR ', ' PCM']", For All Others
112,P0405 ," Exhaust Gas Recirculation (EGR) Sensor A Circuit Low
",   The EGR monitor checks the differential pressure feedback EGR (DPFE) sensor   signal to the powertrain control module (PCM) for low voltage. The test fails when the   average voltage to the PCM drops to a voltage less than the minimum calibrated   value.,"['DPFE circuit short to ground', 'Damaged DPFE sensor', 'VREF short to ground']","A DPFEGR PID reading less than 0.05 volt with the key ON, engine OFF or running indicates a hard fault."
113,P0406 ," Exhaust Gas Recirculation (EGR) Sensor A Circuit High
", The EGR monitor checks the EGR sensor signal to the powertrain control module (PCM) for high voltage. The test fails when the average voltage to the PCM exceeds the maximum calibrated value.,"[' Differential pressure feedback EGR (DPFE) circuit open', ' VREF short to voltage', ' Damaged DPFE sensor', ' DPFE circuit short to voltage', ' SIG RTN circuit open']","A DPFEGR PID reading greater than 4.5 volts with the key ON, engine OFF or running indicates a hard fault."
114,P0410 ," Secondary Air Injection (AIR) System
",The AIR system detected a lack of air flow with the secondary AIR pump ON.,"[' AIR inlet hose leak. ', ' AIR inlet hose disconnected.']",Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.
115,P0412 , Secondary Air Injection (AIR) System ," On the primary side of the AIR relay, open and short faults on the AIR command circuit are detected during normal operation by the powertrain control module (PCM) output driver.","[' Short to voltage or ground in the AIR command circuit', ' Open in the AIR command circuit ', ' AIR bypass solenoid fault ', ' AIR relay fault']"," For intermittent faults use the AIR PCM output driver fault PID (AIRF) during a harnesswiggle test with the AIR PCM output driver in OFF and ON states. The AIR PCM output driver fault PID AIRF instantly detects open circuits and shorts to ground with the PCM output driver off. The AIR PCM output driver fault PID AIRF instantly detects open circuits and shorts to ground with the PCM output driver off. The AIR PCM output driver fault PID AIRF instantly detects a short to voltage or low resistance load with the PCM output driver on. Use the output test mode to toggle the PCM output driver from OFF to ON. Refer to Section 2, Output Test Mode (OTM) ."
116,P0420 ," Catalyst System Efficiency Below Threshold (Bank 1)
", Indicates the bank 1 catalyst system efficiency is below the acceptable threshold.,"['Use of leaded fuel', 'Damaged heated oxygen sensor (HO2S) ', 'Out of range engine coolant temperature (ECT) sensor ', 'High fuel pressure ', 'Damaged exhaust manifold ', 'Damaged catalytic converter ', 'Oil contamination ', 'Cylinder misfiring ', 'Downstream HO2S wires improperly connected ', 'Damaged exhaust system pipe ', 'Damaged muffler/tailpipe assembly ', 'Retarded spark timing ', 'Leaking fuel injector']"," Compare HO2S upstream HO2S11 and downstream HO2S12 switch rate and amplitude.Under normal closed loop fuel conditions, high efficiency catalysts have oxygen storage which makes the switching frequency of the downstream HO2S very slow and reduces the amplitude of those switches as compared to the upstream HO2S. As catalyst efficiency deteriorates, its ability to store oxygen declines and the downstream HO2S signal begins to switch more rapidly with increased amplitude, approaching the switching rate and amplitude of the upstream HO2S. Once beyond an acceptable limit the DTC is set."
117,P0430 ," Catalyst System Efficiency Below Threshold (Bank 2)
",   Indicates the bank 2 catalyst system efficiency is below the acceptable threshold.,['See the possible causes for DTC P0420.'],See the diagnostic aids for DTC P0420.
118,P0442 ," Evaporative Emission System Leak Detected (Small Leak)
",   The powertrain control module (PCM) monitors the complete evaporative emission (EVAP)   control system for the presence of a small fuel vapor leak. System failure occurs when a   fuel vapor leak from an opening as small as 1.016 mm (0.040 in) is detected by the EVAP   running loss monitor test.,"['Aftermarket EVAP hardware that does not conform to the required specifications', 'Small holes or cuts in the fuel vapor hoses/tubes ', 'Canister vent solenoid stays partially open on closed command ', 'Damaged, missing or loosely installed fuel filler cap ', 'Loose fuel vapor hose/tube connections to the EVAP system components ', 'EVAP system component seals leaking at or near the EVAP canister purge valve,fuel tank pressure sensor, canister vent (CV) solenoid, fuel vapor control valve tubeassembly or fuel vapor vent valve assembly']"," Check for a missing fuel filler cap or the integrity of the cap.Check for loose or damaged vapor hoses. Visually inspect the EVAP canister inlet port, CV solenoid filter, and canister vent hose assembly for contamination or debris."
119,P0443 ," Evaporative Emission System Purge Control Valve Circuit
", The powertrain control module (PCM) monitors the state of the evaporative emission (EVAP) canister purge valve circuit output driver. The test fails when the signal moves outside the minimum or maximum limit for the commanded state.,"['VPWR circuit open', 'EVAP canister purge valve circuit short to GND ', 'Damaged EVAP canister purge valve ', 'EVAP canister purge valve circuit open ', 'EVAP canister purge valve circuit short to VPWR ', 'Damaged PCM']"," To verify normal function, monitor the EVAP canister purge valve signal PID EVAPPDC (orEVMV for electronic valve) and the signal voltage (PCM control side). With the valve closed, the EVAPPDC indicates a 0% duty cycle (0 mA for EVMV) and voltage approximately equal to battery voltage. When the valve is commanded fully open, EVAPPDC indicates 100% duty cycle (1000 mA for EVMV) and a voltage drop of 3 volts minimum is normal. Output test mode may be used to switch output on/off to verify function."
120,P0446 ," Evaporative Emission System Vent Control Circuit
", Monitors the canister vent (CV) solenoid circuit for an electrical failure. The test fails when the signal moves outside the minimum or maximum allowable calibrated parameters for a specified canister vent duty cycle by powertrain control module (PCM) command.,"['VPWR circuit open', 'KAPWR circuit open (vehicles equipped with engine off natural vacuum (EONV)EVAP leak check monitor) ', 'CV solenoid circuit short to PWR GND or CHASSIS GND ', 'Damaged CV solenoid ', 'CV solenoid circuit open ', 'CV solenoid circuit short to VPWR ', 'CV solenoid circuit short to KAPWR (vehicles equipped with engine off naturalvacuum (EONV) EVAP leak check monitor) ', 'Damaged PCM']"," To verify normal functioning, monitor the EVAP canister vent solenoid signal PID EVAPCVand the signal voltage (PCM control side). With the valve open, EVAPCV indicates 0% duty cycle and a voltage approximately equal to battery voltage. When the valve is commanded fully closed, EVAPCV indicates 100% duty cycle, and a minimum voltage drop of 4 volts is normal. Output test mode may be used to switch output on/off to verify function."
121,P0451 ," Evaporative Emission System Pressure Sensor/Switch Range/Performance
"," Note: For some vehicle applications, DTC P0451 is set for a fuel tank pressure (FTP) sensor range (offset) concern. The DTC P0454 replaces the original P0451 for intermittent (noisy) sensor concerns. Until the phase in process is complete, noisy or offset FTP sensor concerns may set DTC P0451. The fuel tank pressure changes greater than 14 inches of water in 0.10 seconds. FTP sensor output is offset by + /- 1.7 inches of water.","[' Intermittent open or short in the FTP sensor or the FTP sensor signal ', ' Contaminated or damaged sensor', ' Damaged powertrain control module (PCM)']"," Monitor the FTP PID and note if it changes from above 15 inches of water to below minus(-) 15 inches of water often in 1 minute. With the FTP sensor at atmospheric pressure, the FTP PID normally indicates 0 inches of water. Look for a minimum reading of +/- 1.7 inches of water as an indication of an offset condition."
122,P0452 ," Evaporative Emission System Pressure Sensor/Switch Low
",   The powertrain control module (PCM) monitors the evaporative emission (EVAP) control   system fuel tank pressure (FTP) sensor input signal to the PCM. The test fails when the   signal average drops below a minimum allowable calibrated parameter.,"['Contamination internal to the FTP sensor connector', 'FTP circuit short to GND or SIG RTN ', 'Damaged FTP sensor']"," An FTP voltage PID reading less than 0.22 volt in key ON, engine OFF or key ON, enginerunning indicates a concern is present."
123,P0453 ," Evaporative Emission System Pressure Sensor/Switch High
",   The powertrain control module (PCM) monitors the evaporative emission (EVAP) control   system fuel tank pressure (FTP) sensor input signal to the PCM. The test fails when the   signal average jumps above a minimum allowable calibrated parameter.,"['FTP circuit open', 'VREF short to VPWR ', 'FTP circuit short to VREF or VPWR ', 'SIG RTN circuit open ', 'Damaged FTP sensor']"," An FTP voltage PID reading greater than 4.50 volts in key ON, engine OFF or key ON,engine running indicates a concern is present."
124,P0454 ," Evaporative Emission System Pressure Sensor/Switch Intermittent
",The fuel tank pressure changes greater than 14 inches of water in 0.10 seconds.,"[' Intermittent open or short in the fuel tank pressure (FTP) sensor or the FTP sensorsignal ', ' Contaminated or damaged sensor']", Monitor the FTP PID and note if it changes from above 15 inches of water to below minus(-) 15 inches of water often in 1 minute.
125,P0455 ," Evaporative Emission System Leak Detected (Gross Leak/No Flow)
"," The powertrain control module (PCM) monitors the complete evaporative emission (EVAP) control system for no purge flow, the presence of a large fuel vapor leak, or multiple small fuel vapor leaks. System failure occurs when no purge flow, which is attributed to fuel vapor blockages or restrictions, a large fuel vapor leak, or multiple fuel vapor leaks are detected by the EVAP running loss monitor test with the engine running, but not at idle.","[' Aftermarket EVAP hardware that does not conform to the required specifications', ' Disconnected or cracked fuel EVAP canister tube, EVAP canister purge outlet tube, or EVAP return tube ', ' EVAP canister purge valve stuck closed ', ' Damaged EVAP canister ', ' Damaged or missing fuel filler cap ', ' Insufficient fuel filler cap installation ', ' Loose fuel vapor hose/tube connections to the EVAP system components ', ' Blockages or restrictions in the fuel vapor hoses/tubes ', ' Fuel vapor control valve tube assembly or fuel vapor vent valve assembly blocked ', ' Canister vent (CV) solenoid stuck open ', ' Mechanically inoperative fuel tank pressure (FTP) sensor']",Check for audible vacuum noise or significant fuel odor in the engine compartment or near the EVAP canister and fuel tank.
126,P0456 ," Evaporative Emission System Leak Detected (Very Small Leak)
", The powertrain control module (PCM) monitors the complete evaporative emission (EVAP) control system for the presence of a very small fuel vapor leak. The system failure occurs when a fuel vapor leak from an opening as small as 0.508 mm (0.020 inch) is detected by the EVAP running loss monitor test.,"['Very small holes or cuts in the fuel vapor hoses/tubes', 'Loose fuel vapor hose/tube connections to the EVAP system components ', 'EVAP system component seals leaking. See the Possible Causes for DTC P0442']"," Check for a missing fuel filler cap or the integrity of the cap.Check for loose or damaged vapor hoses. Visually inspect the EVAP canister inlet port, CV solenoid filter, and canister vent hose assembly for contamination or debris."
127,P0457 ," Evaporative Emission System Leak Detected (Fuel Cap Loose/Off)
","A fuel tank pressure change less than a minus (-) 7 inches of water in 30 seconds hasoccurred after refueling; or there is excessive purge, fuel vapor, flow greater than 0.06lb/min (0.45 gm/s).","[' Fuel filler cap not installed on refueling (storing continuous memory DTC) and the fuel cap indicator lamp (FCIL) may also be illuminated', ' Damaged, missing, or loosely installed fuel filler cap']","Check for a missing fuel filler cap or the integrity of the cap. If OK, clear continuous memory DTCs and reinitiate the EVAP emission running loss monitor drive cycle."
128,P0460 ," Fuel Level Sensor A Circuit
"," The powertrain control module (PCM) monitors the fuel level input (FLI) communications network message for a concern. The test fails when the PCM determines that the value of the FLI signal is stuck. The PCM calculates the amount of fuel used during operation. If the FLI signal does not change or does not correspond with the calculated fuel usage, the DTC is set.","['Empty fuel tank', 'Fuel pump (FP) module concern ', 'Incorrectly installed fuel gauge ', 'Damaged instrument cluster ', 'FLI short to VPWR ', 'Overfilled fuel tank ', 'Damaged fuel gauge ', 'FLI circuit open ', 'FLI circuit short to CASE GND or PWR GND ', 'Stuck float arm']"," Monitor the FLI PIDs in key ON, engine running. A concern is present if the FLI percentagePID is at 25% fill and the FLI voltage PID is less than 0.90 volt with a non-matching fuel gauge or the FLI percentage PID is at 75% fill and the FLI voltage PID is greater than 2.45 volts with a non-matching fuel gauge."
129,P0461 ," Fuel Level Sensor A Circuit Range/Performance
"," The powertrain control module (PCM) monitors the fuel level input (FLI) communications network message for a concern. The test fails when the FLI signal repeatedly moves in and out of range, exceeding the minimum or maximum allowable calibrated parameters for a specified fuel fill percentage in the fuel tank.","['Excessive electrical noise', 'Intermittent open circuit']", Verify aftermarket equipment does not generate the radio frequency interference /electromagnetic interference (RFI/EMI) which may cause noisy FLI input signal.
130,P0462 ," Fuel Level Sensor A Circuit Low
",   The powertrain control module (PCM) monitors the fuel level input (FLI) communications   network message for a concern. The test fails when the FLI signal is less than the   minimum allowable calibrated parameter for a specified fuel fill percentage in the fuel tank.,"['Empty fuel tank', 'Fuel pump (FP) module concern ', 'Incorrectly installed fuel gauge ', 'Damaged instrument cluster ', 'Damaged fuel gauge ', 'FLI circuit open ', 'FLI circuit short to ground']", See the diagnostic aids for DTC P0460.
131,P0463 ," Fuel Level Sensor A Circuit High
",   The powertrain control module (PCM) monitors the fuel level input (FLI) communications   network message for a concern. The test fails when the FLI signal is greater than the   maximum allowable calibrated parameter for a specified fuel fill percentage in the fuel tank.,"['Fuel pump (FP) module concern', 'Incorrectly installed fuel gauge ', 'Damaged instrument cluster ', 'FLI short to VPWR ', 'Overfilled fuel tank ', 'Damaged fuel gauge']", See the diagnostic aids for DTC P0460.
132,P0480 ," Fan 1 Control Circuit
For Relay Controlled Electric Cooling Fan
", Monitors the low fan control (LFC) primary circuit output from the powertrain control (PCM). The test fails when the PCM grounds the LFC circuit and excessive current draw is detected on the LFC circuit; or with the LFC circuit not grounded by the PCM the voltage is not detected on the LFC circuit (the PCM expects to detect VPWR voltage coming through the low speed fan control relay coil to the LFC circuit).,"[' Open or short LFC circuit', ' Open VPWR circuit to the low speed FC relay ', ' Damaged low speed FC relay']"," When the LFCF PID reads YES, a concern is currently present. During the key on engineoff (KOEO) self-test, the cooling fan is cycled on and off. A short to voltage can only be detected when the PCM is grounding the LFC circuit. During the KOEO and key on engine running (KOER) self-test, the LFC circuit is cycled on and off.For Variable Speed Electric Cooling Fan"
133,P0481 ," Fan 2 Control Circuit
"," Monitors the HFC primary circuit output from the powertrain control module (PCM). The test fails, when the HFC output is commanded on (grounded) and excessive current draw is detected on the HFC circuit; or when the HFC circuit is commanded off and voltage is not   detected on the HFC circuit (the PCM expects to detect VPWR voltage through the high   speed FC relay coil to the HFC circuit).","['Open or short HFC circuit', 'Open VPWR circuit to the high speed FC relay ', 'Damaged high speed FC relay']"," When the HFCF PID reads YES, a concern is currently present. An open circuit or short toground can only be detected when the PCM is not grounding the HFC circuit. A short to voltage can only be detected when the PCM is grounding the HFC circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the HFC circuit is cycled on and off."
