,code,desc
852,P0854,Drive Switch Input Circuit Low
853,P0855,Drive Switch Input Circuit High
854,P0856,Traction Control Input Signal
855,P0857,Traction Control Input Signal Range/Performance
856,P0858,Traction Control Input Signal Low
857,P0859,Traction Control Input Signal High
858,P0860,Gear Shift Module Communication Circuit
859,P0861,Gear Shift Module Communication Circuit Low
860,P0862,Gear Shift Module Communication Circuit High
861,P0863,TCM Communication Circuit
862,P0864,TCM Communication Circuit Range/Performance
863,P0865,TCM Communication Circuit Low
864,P0866,TCM Communication Circuit High
865,P0867,Transmission Fluid Pressure
866,P0868,Transmission Fluid Pressure Low
867,P0869,Transmission Fluid Pressure High
868,P0870,Transmission Fluid Pressure Sensor/Switch C Circuit
869,P0871,Transmission Fluid Pressure Sensor/Switch C Circuit Range/Performance
870,P0872,Transmission Fluid Pressure Sensor/Switch C Circuit Low
871,P0873,Transmission Fluid Pressure Sensor/Switch C Circuit High
872,P0874,Transmission Fluid Pressure Sensor/Switch C Circuit Intermittent
873,P0875,Transmission Fluid Pressure Sensor/Switch D Circuit
874,P0876,Transmission Fluid Pressure Sensor/Switch D Circuit Range/Performance
875,P0877,Transmission Fluid Pressure Sensor/Switch D Circuit Low
876,P0878,Transmission Fluid Pressure Sensor/Switch D Circuit High
877,P0879,Transmission Fluid Pressure Sensor/Switch D Circuit Intermittent
878,P0880,TCM Power Input Signal
879,P0881,TCM Power Input Signal Range/Performance
880,P0882,TCM Power Input Signal Low
881,P0883,TCM Power Input Signal High
882,P0884,TCM Power Input Signal Intermittent
883,P0885,TCM Power Relay Control Circuit /Open
884,P0886,TCM Power Relay Control Circuit Low
885,P0887,TCM Power Relay Control Circuit High
886,P0888,TCM Power Relay Sense Circuit
887,P0889,TCM Power Relay Sense Circuit Range/Performance
888,P0890,TCM Power Relay Sense Circuit Low
889,P0891,TCM Power Relay Sense Circuit High
890,P0892,TCM Power Relay Sense Circuit Intermittent
891,P0893,Multiple Gears Engaged
892,P0894,Transmission Component Slipping
893,P0895,Shift Time Too Short
894,P0896,Shift Time Too Long
895,P0897,Transmission Fluid Deteriorated
896,P0898,Transmission Control System MIL Request Circuit Low
897,P0899,Transmission Control System MIL Request Circuit High
898,P0900,Clutch Actuator Circuit / Open
899,P0901,Clutch Actuator Circuit Range/Performance
900,P0902,Clutch Actuator Circuit Low
901,P0903,Clutch Actuator Circuit High
902,P0904,Gate Select Position Circuit [senses left / right position]
903,P0905,Gate Select Position Circuit Range/Performance
904,P0906,Gate Select Position Circuit Low
905,P0907,Gate Select Position Circuit High
906,P0908,Gate Select Position Circuit Intermittent
907,P0909,Gate Select Control Error
908,P0910,Gate Select Actuator Circuit / Open [left / right motion]
909,P0911,Gate Select Actuator Circuit Range/Performance
910,P0912,Gate Select Actuator Circuit Low
911,P0913,Gate Select Actuator Circuit High
912,P0914,"Gear Shift Position Circuit [senses forward / rearward position, odd / even gears]"
913,P0915,Gear Shift Position Circuit Range/Performance
914,P0916,Gear Shift Position Circuit Low
915,P0917,Gear Shift Position Circuit High
916,P0918,Gear Shift Position Circuit Intermittent
917,P0919,Gear Shift Position Control Error
918,P0920,"Gear Shift Forward Actuator Circuit / Open [forward motion, odd gears, 1,3,5]"
919,P0921,Gear Shift Foward Actuator Circuit Range/Performance
920,P0922,Gear Shift Foward Actuator Circuit Low
921,P0923,Gear Shift Foward Actuator Circuit High
922,P0924,"Gear Shift Reverse Actuator Circuit / Open [rearward motion, even gears, 2,4,6]"
923,P0925,Gear Shift Reverse Actuator Circuit Range/Performance
924,P0926,Gear Shift Reverse Actuator Circuit Low
925,P0927,Gear Shift Reverse Actuator Circuit High
926,P0928,Gear Shift Lock Solenoid Circuit / Open
927,P0929,Gear Shift Lock Solenoid Circuit Range/Performance
928,P0930,Gear Shift Lock Solenoid Circuit Low
929,P0931,Gear Shift Lock Solenoid Circuit High
930,P0932,Hydraulic Pressure Sensor Circuit
931,P0933,Hydraulic Pressure Sensor Range/Performance
932,P0934,Hydraulic Pressure Sensor Circuit Low Input
933,P0935,Hydraulic Pressure Sensor Circuit High Input
934,P0936,Hydraulic Pressure Sensor Circuit Intermittent
935,P0937,Hydraulic Oil Temperature Sensor Circuit
936,P0938,Hydraulic Oil Temperature Sensor Range/Performance
937,P0939,Hydraulic Oil Temperature Sensor Circuit Low Input
938,P0940,Hydraulic Oil Temperature Sensor Circuit High Input
939,P0941,Hydraulic Oil Temperature Sensor Circuit Intermittent
940,P0942,Hydraulic Pressure Unit
941,P0943,Hydraulic Pressure Unit Cycling Period Too Short
942,P0944,Hydraulic Pressure Unit Loss of Pressure
943,P0945,Hydraulic Pump Relay Circuit / Open
944,P0946,Hydraulic Pump Relay Circuit Range/Performance
945,P0947,Hydraulic Pump Relay Circuit Low
946,P0948,Hydraulic Pump Relay Circuit High
947,P0949,ASM Adaptive Learning Not Done
948,P0950,ASM Control Circuit [Up / Down / Auto / etc]
949,P0951,ASM Control Circuit Range/Performance
950,P0952,ASM Control Circuit Low
951,P0953,ASM Control Circuit High
952,P0954,ASM Control Circuit Intermittent
953,P0955,ASM Mode Circuit [Perf / Winter / Sport / etc]
954,P0956,ASM Mode Circuit Range/Performance
955,P0957,ASM Mode Circuit Low
956,P0958,ASM Mode Circuit High
957,P0959,ASM Mode Circuit Intermittent
958,P0960,Pressure Control Solenoid A Control Circuit / Open
959,P0961,Pressure Control Solenoid A Control Circuit Range/Performance
960,P0962,Pressure Control Solenoid A Control Circuit Low
961,P0963,Pressure Control Solenoid A Control Circuit High
962,P0964,Pressure Control Solenoid B Control Circuit / Open
963,P0965,Pressure Control Solenoid B Control Circuit Range/Performance
964,P0966,Pressure Control Solenoid B Control Circuit Low
965,P0967,Pressure Control Solenoid B Control Circuit High
966,P0968,Pressure Control Solenoid C Control Circuit / Open
967,P0969,Pressure Control Solenoid C Control Circuit Range/Performance
968,P0970,Pressure Control Solenoid C Control Circuit Low
969,P0971,Pressure Control Solenoid C Control Circuit High
970,P0972,Shift Solenoid A Control Circuit Range/Performance
971,P0973,Shift Solenoid A Control Circuit Low
972,P0974,Shift Solenoid A Control Circuit High
973,P0975,Shift Solenoid B Control Circuit Range/Performance
974,P0976,Shift Solenoid B Control Circuit Low
975,P0977,Shift Solenoid B Control Circuit High
976,P0978,Shift Solenoid C Control Circuit Range/Performance
977,P0979,Shift Solenoid C Control Circuit Low
978,P0980,Shift Solenoid C Control Circuit High
979,P0981,Shift Solenoid D Control Circuit Range/Performance
980,P0982,Shift Solenoid D Control Circuit Low
981,P0983,Shift Solenoid D Control Circuit High
982,P0984,Shift Solenoid E Control Circuit Range/Performance
983,P0985,Shift Solenoid E Control Circuit Low
984,P0986,Shift Solenoid E Control Circuit High
985,P0987,Transmission Fluid Pressure Sensor/Switch E Circuit
986,P0988,Transmission Fluid Pressure Sensor/Switch E Circuit Range/Performance
987,P0989,Transmission Fluid Pressure Sensor/Switch E Circuit Low
988,P0990,Transmission Fluid Pressure Sensor/Switch E Circuit High
989,P0991,Transmission Fluid Pressure Sensor/Switch E Circuit Intermittent
990,P0992,Transmission Fluid Pressure Sensor/Switch F Circuit
991,P0993,Transmission Fluid Pressure Sensor/Switch F Circuit Range/Performance
992,P0994,Transmission Fluid Pressure Sensor/Switch F Circuit Low
993,P0995,Transmission Fluid Pressure Sensor/Switch F Circuit High
994,P0996,Transmission Fluid Pressure Sensor/Switch F Circuit Intermittent
995,P0997,Shift Solenoid F Control Circuit Range/Performance
996,P0998,Shift Solenoid F Control Circuit Low
997,P0999,Shift Solenoid F Control Circuit High
998,P1100,MAF Sensor Intermittent/ Check of all OBDII Systems Not Complete 
999,P1101,MAF Sensor Out Of Self Test Range./KOER Not Able To Complete KOER Aborted 
1000,P1102,MAF Sensor In Range But Lower Than Expected 
1001,P1103,MAF Sensor In Range But Higher Than Expected 
1002,P1104,MAF Ground Malfunction 
1003,P1105,Dual Alternator Upper Fault 
1004,P1106,Dual Alternator Lower Fault/ Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage 
1005,P1107,Dual Alternator Lower Circuit Malfunction/ Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage 
1006,P1108,Dual Alternator Battery Lamp Circuit Malfunction 
1007,P1109,IAT - B Sensor Intermittent 
1008,P1110,IAT Sensor (D/C) Open/Short 
1009,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage 
1010,P1112,Intake Air Temperature (IAT) Sensor Circuit Intermittent Low Voltage 
1011,P1113,IAT Sensor Open/Short 
1012,P1114,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent Low Voltage/IAT - B Circuit Low Input 
1013,P1115,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent High Voltage/IAT - B Circuit High Input 
1014,P1116,Engine Coolant sensor out of range/ECT Sensor Out Of Self Test Range 
1015,P1117,Engine Coolant Sensor intermittent/ECT Sensor Intermittent 
1016,P1118,Manifold Absolute Temperature Circuit Low Input 
1017,P1119,Manifold Absolute Temperature Circuit High Input 
1018,P1120,Throttle position sensor out of range 
1019,P1121,Throttle Position (TP) Sensor Circuit Intermittent High Voltage 
1020,P1122,Throttle Position (TP) Sensor Circuit Intermittent Low Voltage 
1021,P1123,Throttle Position Sensor In Range But Higher Than Expected 
1022,P1124,Throttle Position Sensor Out Of Self Test Range 
1023,P1125,Throttle position sensor intermittent 
1024,P1126,Throttle Position (Narrow Range) Sensor Circuit Malfunction 
1025,P1127,"Exhaust Not Warm, Downstream O2 Sensor "
1026,P1128,Upstream Heated O2 Sensors Swapped 
1027,P1129,Downstream Heated O2 Sensors Swapped 
1028,P1130,Lack Of HO2S Switch - Adaptive Fuel At Limit 
1029,P1131,Lack Of HO2S Switch - Sensor Indicates Lean 
1030,P1132,Lack Of HO2S Switch - Sensor Indicates Rich 
1031,P1133,HO2S Insufficient Switching Sensor 1 
1032,P1134,HO2S Transition Time Ratio Sensor 1 
1033,P1135,Pedal Position Sensor A Circuit Intermittent 
1034,P1136,Fan Control Circuit Malfunction 
1035,P1137,Lack Of HO2S Switch - Sensor Indicates Lean 
1036,P1138,Lack Of HO2S12 Switch - Sensor Indicates Rich 
1037,P1139,Water In Fuel Indicator Circuit Malfunction 
1038,P1140,Water In Fuel Condition 
1039,P1141,Fuel Restriction Indicator Circuit Malfunction 
1040,P1142,Fuel Restriction Condition 
1041,P1143,Air Assist Control Valve Range/Performance 
1042,P1144,Air Assist Control Valve Circuit Malfunction 
1043,P1150,Lack Of HO2S21 Switch - Adaptive Fuel At Limit 
1044,P1151,Lack Of HO2S21 Switch - Sensor Indicates Lean 
1045,P1152,Lack Of HO2S21 Switch - Sensor Indicates Rich 
1046,P1153,Bank 2 Fuel Control Shifted Lean 
1047,P1154,Bank 2 Fuel Control Shifted Rich 
1048,P1155,Alternative Fuel Controller 
1049,P1156,Fuel Select Switch Malfunction 
1050,P1157,Lack Of HO2S22 Switch - Sensor Indicates Lean 
1051,P1158,Lack Of HO2S22 Switch - Sensor Indicates Rich 
1052,P1159,Fuel Stepper Motor Malfunction 
1053,P1167,"Invalid Test,throttle not depressed "
1054,P1168,Fuel Rail Sensor In-Range Low Failure 
1055,P1169,Fuel Rail Sensor In-Range High Failure 
1056,P1170,ESO - Engine Shut Off Solenoid Fault 
1057,P1171,Rotor Sensor Fault 
1058,P1172,Rotor Control Fault 
1059,P1173,Rotor Calibration Fault 
1060,P1174,Cam Sensor Fault 
1061,P1175,Cam Control Fault 
1062,P1176,Cam Calibration Fault 
1063,P1177,Synchronization Fault 
1064,P1178,( open ) 
1065,P1180,Fuel Delivery System Malfunction - Low 
1066,P1181,Fuel Delivery System Malfunction - High 
1067,P1182,Fuel Shut Off Solenoid Malfunction 
1068,P1183,Engine Oil Temperature Circuit Malfunction 
1069,P1184,Engine Oil Temperature Out Of Self Test Range 
1070,P1185,FTS High - Fuel Pump Temperature Sensor High 
1071,P1186,FTS Low - Fuel Pump Temperature Sensor Low 
1072,P1187,Variant Selection 
1073,P1188,Calibration Memory Fault 
1074,P1189,Pump Speed Signal Fault 
1075,P1190,Calibration Resistor Out Of Range 
1076,P1191,Key Line Voltage 
1077,P1192,Voltage External 
1078,P1193,EGR Drive Overcurrent 
1079,P1194,ECU A/D Converter 
1080,P1195,SCP HBCC Failed To Initialize 
1081,P1196,Key Off Voltage High 
1082,P1197,Key Off Voltage Low 
1083,P1198,Pump Rotor Control Underfueling 
1084,P1199,Fuel Level Input Circuit Low 
1085,P1200,Injector Control Circuit 
1086,P1201,Injector Circuit Open / Shorted - Cylinder #1 
1087,P1202,Injector Circuit Open / Shorted - Cylinder #2 
1088,P1203,Injector Circuit Open / Shorted - Cylinder #3 
1089,P1204,Injector Circuit Open / Shorted - Cylinder #4 
1090,P1205,Injector Circuit Open / Shorted - Cylinder #5 
1091,P1206,Injector Circuit Open / Shorted - Cylinder #6 
1092,P1209,Injector Control Pressure System Fault 
1093,P1210,Injector Control Pressure Above Expected Level 
1094,P1211,Injector Control Pressure Sensor Above / Below Desired 
1095,P1212,Injector Control Pressure Not Detected During Crank 
1096,P1213,Start Injector Circuit Malfunction 
1097,P1214,Pedal Position Sensor B Circuit Intermittent 
1098,P1215,Pedal Position Sensor C Circuit Low Input 
1099,P1216,Pedal Position Sensor C Circuit High Input 
1100,P1217,Pedal Position Sensor C Circuit Intermittent 
1101,P1218,CID High 
1102,P1219,CID Low 
1103,P1220,Series Throttle Control System Malfunction 
1104,P1221,Traction Control System Malfunction 
1105,P1222,Traction Control Output Circuit Malfunction 
1106,P1223,Pedal Demand Sensor B Circuit High Input 
1107,P1224,Throttle Position Sensor B Out Of Self Test Range 
1108,P1225,Needle Lift Sensor Malfunction 
1109,P1226,Control Sleeve Sensor Malfunction 
1110,P1227,Wastegate Failed Closed (Over Pressure) 
1111,P1228,Wastegate Failed Open (Under Pressure) 
1112,P1229,Intercooler Pump Driver Fault 
1113,P1230,Fuel Pump Low Speed Malfunction 
1114,P1231,"Fuel Pump Secondary Circuit Low, High Speed "
1115,P1232,Fuel Pump Speed Primary Circuit Malfunction 
1116,P1233,Fuel Pump Driver Module Off Line 
1117,P1234,Fuel Pump Driver Module Off Line 
1118,P1235,Fuel Pump Control Out Of Range 
1119,P1236,Fuel Pump Control Out Of Range 
1120,P1237,Fuel Pump Secondary Circuit Malfunction 
1121,P1238,Fuel Pump Secondary Circuit Malfunction 
1122,P1239,Speed Fuel Pump Positive Feed Fault 
1123,P1240,Sensor Power Supply Malfunction 
1124,P1241,Sensor Power Supply Low Input 
1125,P1242,Sensor Power Supply High Input 
1126,P1243,Second Fuel Pump Faulty or Ground Fault 
1127,P1244,Alternator Load Input Failed High 
1128,P1245,Alternator Load Input Failed Low 
1129,P1246,Alternator Load Input Failed 
1130,P1247,Turbo Boost Pressure Low 
1131,P1248,Turbo Boost Pressure Not Detected 
1132,P1249,Wastegate Control Valve Performance 
1133,P1250,PRC Solenoid Circuit Malfunction 
1134,P1251,Air Mixture Solenoid Circuit Malfunction 
1135,P1252,Pedal Correlation PDS1 and LPDS High 
1136,P1253,Pedal Correlation PDS1 and LPDS Low 
1137,P1254,Pedal Correlation PDS2 and LPDS High 
1138,P1255,Pedal Correlation PDS2 and LPDS Low 
1139,P1256,Pedal Correlation PDS1 and HPDS 
1140,P1257,Pedal Correlation PDS2 and HPDS 
1141,P1258,Pedal Correlation PDS1 and PDS2 
1142,P1259,Immobilizer to PCM Signal Error 
1143,P1260,"THEFT Detected, Vehicle Immobilzed "
1144,P1261,Cylinder #1 High To Low Side Short 
1145,P1262,Cylinder #2 High To Low Side Short 
1146,P1263,Cylinder #3 High To Low Side Short 
1147,P1264,Cylinder #4 High To Low Side Short 
1148,P1265,Cylinder #5 High To Low Side Short 
1149,P1266,Cylinder #6 High To Low Side Short 
1150,P1267,Cylinder #7 High To Low Side Short 
1151,P1268,Cylinder #8 High To Low Side Short 
1152,P1269,Immobilizer Code Not Programmed 
1153,P1270,Engine RPM Or Speed Limiter Reached 
1154,P1271,Cylinder #1 High To Low Side Open 
1155,P1272,Cylinder #2 High To Low Side Open 
1156,P1273,Cylinder #3 High To Low Side Open 
1157,P1274,Cylinder #4 High To Low Side Open 
1158,P1275,Cylinder #5 High To Low Side Open 
1159,P1276,Cylinder #6 High To Low Side Open 
1160,P1277,Cylinder #7 High To Low Side Open 
1161,P1278,Cylinder #8 High To Low Side Open 
1162,P1280,Injection Control Pressure Out Of Range Low 
1163,P1281,Injection Control Pressure Out Of Range High 
1164,P1282,Excessive Injection Control Pressure 
1165,P1283,IPR Circuit Failure 
1166,P1284,Aborted KOER - ICP Failure 
1167,P1285,Cylinder head over temp sensed 
1168,P1286,Fuel Pulse In Range But Lower Than Expected 
1169,P1287,Fuel Pulse In Range But Higher Than Expected 
1170,P1288,Cylinder Head Temp Sensor Out Of Self Test Range 
1171,P1289,Cylinder Head Temp Sensor High Input 
1172,P1290,Cylinder Head Temp Sensor Low Input 
1173,P1291,Injector High Side Short To GND Or VBATT - Bank 1 
1174,P1292,Injector High Side Short To GND Or VBATT - Bank 2 
1175,P1293,Injector High Side Open - Bank 1 
1176,P1294,Injector High Side Open - Bank 2/Target idle not reached 
1177,P1295,Multi-faults - Bank 1 - With Low Side Shorts 
1178,P1296,Multi-faults - Bank 2 - With Low Side Shorts 
1179,P1297,Injector High Sides Shorted Together 
1180,P1298,IDM Failure 
1181,P1299,Cylinder Head Overtemperature Protection Active 
1182,P1300,Boost Calibration Fault 
1183,P1301,Boost Calibration High 
1184,P1302,Boost Calibration Low 
1185,P1303,EGR Calibration Fault 
1186,P1304,EGR Calibration High 
1187,P1305,EGR Calibration Low 
1188,P1306,Kickdown Relay Pull - In Circuit Fault 
1189,P1307,Kickdown Relay Hold Circuit Fault 
1190,P1308,A/C Clutch Circuit Fault 
1191,P1309,Misfire Monitor AICE Chip Fault 
1192,P1313,Misfire Rate Catalyst Damage Fault - Bank 1 
1193,P1314,Misfire Rate Catalyst Damage Fault - Bank 2 
1194,P1315,Persistent Misfire 
1195,P1316,Injector Circuit / IDM Codes Detected 
1196,P1317,Injector Circuit / IDM Codes Not Updated 
1197,P1336,Crank / Cam Sensor Range / Performance 
1198,P1340,Camshaft Position Sensor B Circuit Malfunction 
1199,P1341,Camshaft Position Sensor B Range / Performance 
1200,P1345,SGC (Cam Position) Sensor Circuit Malfunction/ Crankshaft Position - Camshaft Position Correlation 
1201,P1346,Fuel Level Sensor B Circuit Malfunction 
1202,P1347,Fuel Level Sensor B Range / Performance 
1203,P1348,Fuel Level Sensor B Circuit Low 
1204,P1349,Fuel Level Sensor B Circuit High 
1205,P1350,Fuel Level Sensor B Intermittent/Bypass Line Monitor 
1206,P1351,IDM Input Circuit Malfunction/ Ignition Coil Control Circuit High Voltage 
1207,P1352,Ignition Coil A Primary Circuit Malfunction 
1208,P1353,Ignition Coil B Primary Circuit Malfunction 
1209,P1354,Ignition Coil C Primary Circuit Malfunction 
1210,P1355,Ignition Coil D Primary Circuit Malfunction 
1211,P1360,Ignition Coil A Secondary Circuit Malfunction 
1212,P1361,Ignition Control (IC) Circuit Low Voltage 
1213,P1362,Ignition Coil C Secondary Circuit Malfunction 
1214,P1363,Ignition Coil D Secondary Circuit Malfunction 
1215,P1364,Ignition Coil Primary Circuit Failure 
1216,P1365,Ignition Coil Secondary Circuit Failure 
1217,P1366,Ignition Spare 
1218,P1367,Ignition Spare 
1219,P1368,Ignition Spare 
1220,P1369,Engine Temperature Light Monitor Failure 
1221,P1370,Insufficient RMP Increase During Spark Test 
1222,P1371,Ignition Coil - Cylinder 1 - Early Activation Fault 
1223,P1372,Ignition Coil - Cylinder 2 - Early Activation Fault 
1224,P1373,Ignition Coil - Cylinder 3 - Early Activation Fault 
1225,P1374,Crankshaft Position (CKP)/Ignition Coil - Cylinder 4 - Early Activation Fault 
1226,P1375,Ignition Coil - Cylinder 5 - Early Activation Fault 
1227,P1376,Ignition Coil - Cylinder 6 - Early Activation Fault 
1228,P1380,Misfire Detected - Rough Road Data Not Available 
1229,P1381,Variable Cam Timing Overadvanced (Bank #1)/ Misfire Detected - No Communication with BCM 
1230,P1382,Variable Cam Timing Solenoid #1 Circuit Malfunction 
1231,P1383,Variable Cam Timing Overretarded (Bank #1) 
1232,P1384,VVT Solenoid A Malfunction 
1233,P1385,Variable Cam Timing Solenoid B Malfunction 
1234,P1386,Variable Cam Timing Overadvanced (Bank #2) 
1235,P1387,Variable Cam Timing Solenoid #2 Circuit Malfunction 
1236,P1388,Variable Cam Timing Overretarded (Bank #2) 
1237,P1389,Glow Plug Circuit High Side Low Input 
1238,P1390,Octane Adjust Pin Out Of Self Test Range 
1239,P1391,Glow Plug Circuit Low Input (Bank #1) 
1240,P1392,Glow Plug Circuit High Input (Bank #1) 
1241,P1393,Glow Plug Circuit Low Input (Bank #2) 
1242,P1394,Glow Plug Circuit High Input (Bank #2) 
1243,P1395,Glow Plug Monitor Fault (Bank #1) 
1244,P1396,Glow Plug Monitor Fault (Bank #2) 
1245,P1397,System Voltage Out Of Self Test Range 
1246,P1398,VVT Solenoid B Circuit High Input 
1247,P1399,"Glow Plug Circuit High Side, High Input "
1248,P1400,DPFE Circuit Low Input 
1249,P1401,DPFE Circuit High Input 
1250,P1402,EGR Metering Orifice Restricted 
1251,P1403,DPFE Sensor Hoses Reversed 
1252,P1404,IAT - B Circuit Malfunction/ Exhaust Gas Recirculation Closed Position Performance 
1253,P1405,DPFE Sensor Upstream Hose Off Or Plugged 
1254,P1406,Exhaust Gas Recirculation (EGR) Position Sensor Performance 
1255,P1407,EGR No Flow Detected 
1256,P1408,EGR Flow Out Of Self Test Range 
1257,P1409,EVR Control Circuit Malfunction 
1258,P1411,SAI System Incorrect Downstream Flow Detected 
1259,P1413,SAI System Monitor Circuit Low Input 
1260,P1414,SAI System Monitor Circuit High Input 
1261,P1415,Air Pump Circuit Malfunction/ (AIR) System Bank 1 
1262,P1416,Port Air Circuit Malfunction/ (AIR) System Bank 2 
1263,P1417,Port Air Relief Circuit Malfunction 
1264,P1418,Split Air #1 Circuit Malfunction 
1265,P1419,Split Air #2 Circuit Malfunction 
1266,P1420,Catalyst Temperature Sensor Failure 
1267,P1421,Catalyst Damage 
1268,P1422,EGI Temperature Sensor Failure 
1269,P1423,EGI Functionality Test Failed 
1270,P1424,EGI Glow Plug Primary Failure 
1271,P1425,EGI Glow Plug Secondary Failure 
1272,P1426,EGI Mini - MAF Failed Out Of Range 
1273,P1427,EGI Mini - MAF Failed Short Circuit 
1274,P1428,EGI Mini - MAF Failed Open Circuit 
1275,P1429,Electric Air Pump Primary Failure 
1276,P1430,Electric Air Pump Secondary Failure 
1277,P1433,A/C Refrigerant Temperature Circuit Low 
1278,P1434,A/C Refrigerant Temperature Circuit High 
1279,P1435,A/C Refrigerant Temperature Circuit Range/Performance 
1280,P1436,A/C Evaporator Air Temperature Circuit Low 
1281,P1437,A/C Evaporator Air Temperature Circuit High 
1282,P1438,A/C Evaporator Air Temperature Circuit Range/Performance 
1283,P1439,Floor Temperature Switch Circuit Malfunction 
1284,P1440,Purge Valve Stuck Open 
1285,P1441,"Evaporative Emission Control (EVAP) System Leak

P1441 AUDI EGR Vacuum Regulator Solenoid Valve Open/Short To Ground
P1441 BMW Leakage Diagnostic Pump Control Open Circuit
P1441 BUICK EVAP System Flow During Non-Purge Condition
P1441 CADILLAC EVAP System Flow During Non-Purge Condition
P1441 CHEVROLET EVAP System Flow During Non-Purge Condition
P1441 DODGE EVAP System Flow During Non-Purge Condition
P1441 GMC EVAP System Flow During Non-Purge Condition
P1441 INFINITI Evaporative Emission Control System Very Small Leak
P1441 ISUZU EVAP System Flow During Non-Purge
P1441 LEXUS Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
P1441 MINI Leakage Diagnostic Pump Control Open Circuit
P1441 NISSAN Evaporative Emission Control System Very Small Leak
P1441 PONTIAC EVAP System Flow During Non-Purge Condition
P1441 SATURN EVAP System Flow During Non-Purge Condition
P1441 SATURN EVAP System Flow During Non-Purge Condition
P1441 SCION Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
P1441 SUBARU Fuel Tank Pressure Control System High Input
P1441 TOYOTA Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
P1441 VOLKSWAGEN EGR Vacuum Regulator Solenoid Valve Open/Short To Ground

"
1286,P1441,AUDI EGR Vacuum Regulator Solenoid Valve Open/Short To Ground
1287,P1441,BMW Leakage Diagnostic Pump Control Open Circuit
1288,P1441,BUICK EVAP System Flow During Non-Purge Condition
1289,P1441,CADILLAC EVAP System Flow During Non-Purge Condition
1290,P1441,CHEVROLET EVAP System Flow During Non-Purge Condition
1291,P1441,DODGE EVAP System Flow During Non-Purge Condition
1292,P1441,GMC EVAP System Flow During Non-Purge Condition
1293,P1441,INFINITI Evaporative Emission Control System Very Small Leak
1294,P1441,ISUZU EVAP System Flow During Non-Purge
1295,P1441,LEXUS Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
1296,P1441,MINI Leakage Diagnostic Pump Control Open Circuit
1297,P1441,NISSAN Evaporative Emission Control System Very Small Leak
1298,P1441,PONTIAC EVAP System Flow During Non-Purge Condition
1299,P1441,SATURN EVAP System Flow During Non-Purge Condition
1300,P1441,SATURN EVAP System Flow During Non-Purge Condition
1301,P1441,SCION Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
1302,P1441,SUBARU Fuel Tank Pressure Control System High Input
1303,P1441,TOYOTA Secondary Air Injection System Switching Valve No.2 Stuck Open Bank 1
1304,P1441,VOLKSWAGEN EGR Vacuum Regulator Solenoid Valve Open/Short To Ground
1305,P1442,Evaporative Emission Control System Leak Detected 
1306,P1443,Evaporative Emission Control System Control Valve 
1307,P1444,Purge Flow Sensor Circuit Low Input 
1308,P1445,Purge Flow Sensor Circuit High Input 
1309,P1446,Evaporative Vac Solenoid Circuit Malfunction 
1310,P1447,ELC System Closure Valve Flow Fault 
1311,P1448,ELC System 2 Fault 
1312,P1449,Evaporative Check Solenoid Circuit Malfunction 
1313,P1450,Unable To Bleed Up Fuel Tank Vacuum 
1314,P1451,Evap Emission Control Sys Vent Control Valve Circuit 
1315,P1452,Unable To Bleed - Up Vacuum in Tank 
1316,P1453,Fuel Tank Pressure Relief Valve Malfunction 
1317,P1454,Evaporative System Vacuum Test Malfunction 
1318,P1455,Evap Emission Control Sys Leak Detected (Gross Leak/No Flow) 
1319,P1456,Fuel Tank Temperature Sensor Circuit Malfunction 
1320,P1457,Unable To Pull Vacuum In Tank 
1321,P1460,Wide open throttle A/C cutoff relay circuit 
1322,P1461,A/C pressure sensor circuit voltage low 
1323,P1462,A/C pressure sensor circuit voltage high 
1324,P1463,A/C Pressure Sensor Insufficient Pressure Change 
1325,P1464,A/C Demand Out of Self Test Range 
1326,P1465,A/C Relay Circuit Malfunction 
1327,P1466,A/C Refrigerant Temperature Sensor/Circuit Malfunction 
1328,P1467,A/C Compressor Temperature Sensor Malfunction 
1329,P1468,SSPOD Open Circuit or Closed Circuit Fault 
1330,P1469,Low A/C Cycling Period 
1331,P1470,A/C Cycling Period Too Short 
1332,P1471,Electrodrive Fan 1 Operational Failure (Driver Side) 
1333,P1472,Electrodrive Fan 2 Operational Failure (Passenger Side) 
1334,P1473,Fan Secondary High With Fan(s) Off 
1335,P1474,Low Fan Control Primary Circuit Malfunction 
1336,P1475,Fan Relay (Low) Circuit Malfunction 
1337,P1476,Fan Relay (High) Circuit Malfunction 
1338,P1477,Additional Fan Relay Circuit Malfunction 
1339,P1478,Cooling Fan Driver Fault 
1340,P1479,High Fan Control Primary Circuit Malfunction 
1341,P1480,Fan Secondary Low with Low Fan On 
1342,P1481,Fan Secondary Low With High Fan On 
1343,P1482,SCP 
1344,P1483,Power To Fan Circuit Overcurrent 
